route_id,obs_len,rank,neighbor_route_id,probability,cos_dist,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,corridor_dist_raw_m,corridor_dist_snapped_m,is_top1
C004,16,2,C011,0.222536,0.007339,11.7499,19.0121,11.9284,19.0121,0.2504,0.0,0
C004,16,3,C027,0.216998,0.0086,12.249,19.0121,12.3583,19.0121,0.2507,0.0,0
C004,16,4,C024,0.160977,0.023531,1.8606,0.0,1.9585,0.0,0.3372,0.0,0
C004,16,5,G014,0.090977,0.052064,29.7768,50.4975,29.6643,50.4975,0.2862,0.0,0
C004,16,6,C009,0.083925,0.056098,30.5621,50.4975,30.6534,50.4975,0.2481,0.0,0
C004,20,1,C008,0.251572,0.002498,0.6213,0.0,0.8213,0.0,0.4079,0.0,1
C004,20,2,C011,0.227792,0.007462,11.7499,19.0121,11.9284,19.0121,0.2504,0.0,0
C004,20,3,C027,0.216069,0.010104,12.249,19.0121,12.3583,19.0121,0.2507,0.0,0
C004,20,4,C024,0.143368,0.030613,1.8606,0.0,1.9585,0.0,0.3372,0.0,0
C004,20,5,G014,0.083842,0.057437,29.7768,50.4975,29.6643,50.4975,0.2862,0.0,0
C004,20,6,C009,0.077356,0.061463,30.5621,50.4975,30.6534,50.4975,0.2481,0.0,0
C005,12,1,C003,0.523696,0.009197,10.254,28.8847,10.4224,28.8847,0.7109,0.0,1
C005,12,2,C016,0.149256,0.071959,61.9183,107.5821,61.9064,107.5821,0.0631,0.0,0
C005,12,3,G015,0.139971,0.07517,5.7305,0.0,5.5899,0.0,0.432,0.0,0
C005,12,4,C015,0.071669,0.108639,1.7227,0.0,1.903,0.0,0.3547,0.0,0
C005,12,5,C013,0.065713,0.112977,11.4155,28.8847,11.3794,28.8847,0.4728,0.0,0
C005,12,6,C007,0.049694,0.126947,97.2726,123.2109,97.3112,123.2109,0.1337,0.0,0
C005,16,1,C003,0.522067,0.005055,10.254,28.8847,10.4224,28.8847,0.7109,0.0,1
C005,16,2,C016,0.152029,0.066741,61.9183,107.5821,61.9064,107.5821,0.0631,0.0,0
C005,16,3,G015,0.128052,0.075323,5.7305,0.0,5.5899,0.0,0.432,0.0,0
C005,16,4,C015,0.077093,0.100695,1.7227,0.0,1.903,0.0,0.3547,0.0,0
C005,16,5,C013,0.069475,0.105897,11.4155,28.8847,11.3794,28.8847,0.4728,0.0,0
C005,16,6,C007,0.051285,0.121075,97.2726,123.2109,97.3112,123.2109,0.1337,0.0,0
C005,20,1,C003,0.523849,0.003231,10.254,28.8847,10.4224,28.8847,0.7109,0.0,1
C005,20,2,C016,0.156546,0.063623,61.9183,107.5821,61.9064,107.5821,0.0631,0.0,0
C005,20,3,G015,0.116352,0.07846,5.7305,0.0,5.5899,0.0,0.432,0.0,0
C005,20,4,C015,0.076147,0.099658,1.7227,0.0,1.903,0.0,0.3547,0.0,0
C005,20,5,C013,0.073688,0.101299,11.4155,28.8847,11.3794,28.8847,0.4728,0.0,0
C005,20,6,C007,0.053419,0.117382,97.2726,123.2109,97.3112,123.2109,0.1337,0.0,0
C006,12,1,G002,0.582637,0.052363,73.1689,92.475,73.2944,92.475,0.2737,0.0,1
C006,12,2,G019,0.227324,0.099422,54.0554,48.9543,54.0058,48.9543,0.1879,0.0,0
C006,12,3,C014,0.067366,0.160234,50.1763,29.9471,50.0396,29.9471,0.326,0.0,0
C006,12,4,C026,0.042419,0.183361,62.4222,89.5387,62.4953,89.5387,0.2674,0.0,0
C006,12,5,G018,0.041652,0.184273,63.0674,89.5387,62.9941,89.5387,0.3356,0.0,0
C006,12,6,C025,0.038601,0.188077,61.1706,80.4111,61.1536,80.4111,0.2475,0.0,0
C006,16,1,G002,0.588684,0.047634,73.1689,92.475,73.2944,92.475,0.2737,0.0,1
C006,16,2,G019,0.217394,0.097443,54.0554,48.9543,54.0058,48.9543,0.1879,0.0,0
C006,16,3,C014,0.068986,0.154833,50.1763,29.9471,50.0396,29.9471,0.326,0.0,0
C006,16,4,G018,0.04264,0.178889,63.0674,89.5387,62.9941,89.5387,0.3356,0.0,0
C006,16,5,C026,0.042533,0.179014,62.4222,89.5387,62.4953,89.5387,0.2674,0.0,0
C006,16,6,C025,0.039763,0.182381,61.1706,80.4111,61.1536,80.4111,0.2475,0.0,0
C006,20,1,G002,0.587898,0.049413,73.1689,92.475,73.2944,92.475,0.2737,0.0,1
C006,20,2,G019,0.220418,0.098464,54.0554,48.9543,54.0058,48.9543,0.1879,0.0,0
C006,20,3,C014,0.069044,0.156504,50.1763,29.9471,50.0396,29.9471,0.326,0.0,0
C006,20,4,C026,0.042315,0.180983,62.4222,89.5387,62.4953,89.5387,0.2674,0.0,0
C006,20,5,G018,0.041561,0.181883,63.0674,89.5387,62.9941,89.5387,0.3356,0.0,0
C006,20,6,C025,0.038764,0.185366,61.1706,80.4111,61.1536,80.4111,0.2475,0.0,0
C007,12,1,G006,0.285997,0.044773,50.6968,133.3524,50.7716,133.3524,0.3709,0.0,1
C007,12,2,C016,0.21392,0.059292,81.2465,35.1754,81.2149,35.1754,0.0631,0.0,0
C007,12,3,C015,0.150011,0.077037,97.5061,123.2109,97.6214,123.2109,0.3547,0.0,0
C007,12,4,C022,0.130936,0.083837,100.4022,66.6392,100.4323,66.6392,0.154,0.0,0
C007,12,5,C013,0.112288,0.091519,93.7389,145.086,93.8405,145.086,0.4728,0.0,0
C007,12,6,G010,0.106847,0.094002,113.602,61.5668,113.7533,61.5668,0.276,0.0,0
C007,16,1,G006,0.282226,0.045248,50.6968,133.3524,50.7716,133.3524,0.3709,0.0,1
C007,16,2,C016,0.214686,0.058925,81.2465,35.1754,81.2149,35.1754,0.0631,0.0,0
C007,16,3,C015,0.152814,0.075922,97.5061,123.2109,97.6214,123.2109,0.3547,0.0,0
C007,16,4,C022,0.128856,0.084449,100.4022,66.6392,100.4323,66.6392,0.154,0.0,0
C007,16,5,C013,0.115009,0.090133,93.7389,145.086,93.8405,145.086,0.4728,0.0,0
C007,16,6,G010,0.106409,0.094019,113.602,61.5668,113.7533,61.5668,0.276,0.0,0
C007,20,1,G006,0.26317,0.04636,50.6968,133.3524,50.7716,133.3524,0.3709,0.0,1
C007,20,2,C016,0.216543,0.056111,81.2465,35.1754,81.2149,35.1754,0.0631,0.0,0
C007,20,3,C015,0.151351,0.07402,97.5061,123.2109,97.6214,123.2109,0.3547,0.0,0
C007,20,4,C022,0.131512,0.081045,100.4022,66.6392,100.4323,66.6392,0.154,0.0,0
C007,20,5,C013,0.125342,0.083448,93.7389,145.086,93.8405,145.086,0.4728,0.0,0
